user_id	Eye color
2275	Green
2199	Green
2276	Brown
2278	Blue-grey
2279	Dark brown
2287	Brown
2288	Hazel
2291	Blue-grey; broken amber collarette
2293	Rs12913832 aa
2297	Hazel
2533	Rs12913832 ag (they
2322	Green-gray
2304	Blue
2307	Blue-green
2316	Blue-grey
2314	Hazel
2288	Hazel
2288	Hazel
2334	Blue-green
2337	Grey brown
2337	Grey brown
2350	Blue-green
2358	Brown
2361	Green
2362	Green
2398	Green
2367	Blue-green
2385	Olive-Brown ringing Burnt Umber-Brown
2356	Blue-green 
210	Blue
2403	Dark brown
2402	Brown
898	Blue-grey
909	Blue
920	Brown
922	Brown
994	Brown
3050	Brown
512	Blue
585	Blue-grey
585	Blue-grey
1078	Brown
1035	Brown-green
1196	Green
1209	Brown
862	Brown
1233	Brown
1879	Dark brown
2797	Blue
2826	Dark blue
2839	Dark brown
2841	Green-brown
1221	Green-brown
1566	Brown
2729	Brown
2732	Brown
2718	Ambar-Green
2739	Blue-green
2748	Blue-grey
2849	Brown-(green when external temperature rises)
2419	Blue
2421	Brown
2453	Hazel
2454	Blue
2455	Brown
2457	Hazel
2498	Blue-grey
2507	Mixed
2512	Green-brown
2513	Brown
2858	Green-brown
2881	Green
2456	Blue
2535	Dark brown
2901	Brown
2542	Hazel
2856	Dark brown
2886	Light-mixed green
2890	Blue-green
2920	Blue
2980	Green-gray
2949	Brown
2958	Blue
2960	Brown
2966	Hazel/light brown
2874	Gray-blue
2964	Brown-green
2969	Green
2996	Mixed
2998	Brown
3017	Brown-green
3015	Brown
3034	Hazel
3043	Brown
3046	Brown
3048	Brown
3048	Brown
3068	Brown-green
3069	Brown
3078	Blue
3080	Brown-green
3085	Brown
3090	Hazel
3097	Blue
3100	Blue with yellow parts
3104	Blue-green
3111	Hazel
3113	Brown
3122	Brown
3124	Brown
3129	Hazel
3130	Hazel/light brown
3137	Hazel
3108	Brown
3140	Brown
3145	Hazel/light brown
3043	Brown
3160	Hazel
3167	Hazel
4667	Brown
3176	Green
3179	Blue
3186	Ambar-green
3192	Brown
3193	Blue-grey; broken amber collarette
3196	Dark brown
3197	Hazel/light brown
3199	Brown
3206	Blue-green
3211	Brown-green
3216	Blue-green
3221	Green
3224	Green
3234	Green
3244	Green
3248	Green
3265	Gray-blue
3267	Brown
3275	Blue-grey
3277	Blue-green 
3277	Blue-green 
3280	Hazel
3289	Blue with yellow parts
3301	Dark brown
3304	Brown
3309	Blue-green
3320	Brown-green
3320	Brown-green
3321	Green-gray
3321	Green-gray
3324	Blue
3326	Green
3335	Dark brown
3341	Blue with yellow parts
3343	Hazel
3344	Blue
3357	Brown
3364	Brown
3340	Brown
3370	Hazel
3375	Brown
3393	Brown
3394	Brown
3395	Brown
3395	Brown
3395	Brown
3397	Dark brown
3397	Dark brown
3399	Green-brown
1104	rs12913832 AG (they
1104	rs12913832 AG (they
3415	Brown-green
3417	Green-gray
3422	Green
3423	Hazel
3449	Dark blue
3454	Hazel
3468	Brown
3478	Hazel
3486	Dark brown
3494	Hazel
3499	Brown
3257	Brown-green
3532	Green
3531	Blue
991	Blue-grey
991	Blue-grey
3543	Blue-grey; broken amber collarette
298	Brown
3547	Olive-brown ringing burnt umber-brown
3569	Blue-green
3571	Hazel/light brown
3571	Hazel/light brown
3581	Hazel/light brown
3582	Hazel
3595	Blue-grey
3598	Hazel
3605	Green-brown
3611	Blue
3615	Brown
3622	Brown
3624	Blue
3625	Brown
3626	Brown-green
3639	Olive-brown ringing burnt umber-brown
3642	Blue
3643	Blue-green
3644	Blue
3655	Green
3660	Blue with yellow parts
3688	Green
3682	Blue-grey
3689	Brown-green
814	Mixed
3695	Brown-green
3706	Blue-green
3706	Blue-green
991	Blue-grey
3724	Dark blue
3728	Brown
3733	Blue-grey
4557	Brown-green
3767	Hazel
3782	Blue
3782	Blue
3783	Brown-green
3786	Blue
3788	Blue-green
3806	Blue-green
3813	Blue-grey
3904	Dark brown
3886	Light-mixed green
3971	Blue-grey
3964	Dark brown
3967	Gray-blue
3965	Brown
3954	Blue grey
3865	Blue-grey
3835	Indeterminate brown-green with a subtle grey caste
3834	Blue-green
3833	Green
3942	Blue-grey
3934	Brown
500	Blue-grey
3922	Dark brown
3930	Blue-green
3921	Dark brown
3913	Dark brown
4042	Hazel/light brown
4038	Rs12913832 ag (they
2191	Brown
4018	Brown
4009	Blue
3993	Hazel
4034	Brown
4032	Brown
4012	Brown
4010	Brown
4006	Brown
3992	Brown-green
4084	Brown-green
4095	Hazel
4080	Blue
4064	Green
4056	Blue-grey
4057	Hazel
4030	Hazel
3979	Brown
3853	Brown
3931	Dark brown
3908	Blue
3905	Olive-brown ringing burnt umber-brown
3885	Blue-green 
3882	Blue
3883	Dark brown
3881	Green
4147	Hazel
4143	Blue
4127	Dark brown
4173	Blue-grey
4029	Brown-green
4159	Blue-grey
4671	Brown
4178	Hazel
4178	Hazel
4672	Brown
3821	Green
4194	Hazel/light brown
4198	Brown-green
4204	Blue
4207	Brown-green
4212	Blue
4213	Blue
4215	Blue with yellow parts
3782	Blue
4224	Blue-green
607	Blue
4484	Blue
4235	Green
4241	Dark brown
4245	Hazel
4248	Hazel
4251	Green-brown
4258	Green
4667	Brown
4271	Hazel
4290	Brown
4482	Hazel
4676	Blue-green
4320	Brown
4360	Blue grey
4490	Dark brown
4181	Blue-green 
3303	Brown-green
4192	Blue
4176	Brown
4201	Brown
4200	Blue
4230	Brown
4346	Green-brown
4343	Hazel
3766	Brown
3780	Brown
4356	Hazel
4359	Dark blue
4463	Blue-green
4569	Hazel/light brown
4381	Brown
1	blue-green
4399	Green
925	Blue
1050	Hazel/light brown
1111	Blue-grey
4428	Brown
4430	Gray-blue
4499	Blue
2419	Blue
4502	Brown
4507	Brown
4538	Blue with yellow parts
4539	Hazel
4568	Blue
4438	Blue-green
4547	Hazel
4577	Brown
4587	Green
4594	Blue
4597	Brown
4598	Brown
4602	Hazel/light brown
4604	Brown
4605	Brown
4613	Blue
4621	Blue-green
4679	Blue-green
4680	Brown
2074	Dark blue
1	blue-green
4754	Hazel/light brown
4756	Blue
4758	Dark brown
1426	Green
4763	Green
4632	Brown
4643	Brown-green
4552	Green-Hazel
4644	Brown
4646	Brown
4694	Green
4695	Dark blue
4648	Blue
4651	Blue
4652	Green-brown
4654	Ambar-green
4715	Brown
4796	Dark brown
4797	Hazel
4813	Brown - Brown and green in bright sunlight
4814	Brown
4825	Blue-green
4833	Brown
4834	Green-hazel
4851	Dark brown
4832	Blue-grey; broken amber collarette
4837	Brown
4859	Brown
4859	Brown
4879	Light-mixed green
4880	Brown
