Name,Genes,Proteins,Size
Escherichia coli,5359,5099,5317100
Escherichia coli,5336,4695,5315040
Escherichia coli,4839,4618,4879930
Escherichia coli,5133,4603,4980800
Escherichia coli str. K-12 substr. MG1655,4617,4407,4659630
Escherichia coli,5618,5358,5478680
Escherichia coli B,4428,4209,4478950
Escherichia coli B,4553,4317,4569190
Escherichia coli K-12,4759,4522,4779800
Escherichia coli K-12,4982,4731,4959180
Escherichia coli str. K-12 substr. MG1655,4619,4405,4657540
Escherichia coli,5201,4963,5176040
Escherichia coli,5224,4983,5219970
Escherichia coli,4982,4541,5014240
Escherichia coli,5295,5040,5256380
Escherichia coli,5218,4984,5197050
Escherichia coli B7A,5492,5384,5230440
Escherichia coli,4457,4139,4605130
Escherichia coli,4453,4140,4599700
Escherichia coli,1754,1719,1822640
