user_id	Coffee consumption
3422	2 cups/day
3494	5 cups/day
3532	1 cup/dday
3523	2 cups/day
3531	3 cups/day
3543	2 cups/day
3571	3-5 cups
3571	3-5 cups
3639	4 cups/day
3642	1 cup/dday
3651	1 cup/dday
3660	Dislike/do not drink
3672	2 cups/day
3689	"Coffee one day, green tea the next"
814	Don't drink coffee
3730	0 cups/day
3767	1 cup/dday
3802	2 cups/day
3806	3 cups/day
4558	7 cups/day
3964	1 cup/dday
3833	1 cup/day
3942	4 cups/day
500	2 cups/day
3922	1 cup/dday
3930	"Coffee one day, green tea the next"
3913	3 cups/day
4009	5 cups/day
3993	Tea drinker
4034	4 cups/day
4012	2 cups/day
3992	I don't drink cofee
4084	Dislike/do not drink
4095	0 cups/day
4073	2 cups/day
4064	Rs2472297
3974	1 cup/day to none
4178	1 cup/dday
4178	1 cup/dday
4224	Fastest metabolizer - i live on caffeine
607	3-5 cups
4484	3 cups/day
4240	2 cups/day
4245	Don't drink coffee
4271	Fastest metabolizer - i live on caffeine
4292	2 cups/day
4290	3 cups/day
4181	2 cups/day
4191	Dislike/do not drink
3303	Non-drinker
3732	5 cups/day
4343	0 cups/day
3747	1 cup/dday
3763	2 cups/day
4356	1  to 2 cups per day
4359	3 cups/day
4387	3 cups/day
4392	Dislike/do not drink
1	2 cups/day
4295	Don't drink coffee
1457	7 cups/day
1111	2 cups/week
4342	3 cups/daily
4428	Occasionally 
4517	3 cups/day
4522	1 cup/dday
4532	3-5 cups
4539	5 cups/day
4546	2 cups/day
4509	0 cups/day
4438	I don't drink cofee
4547	Dislike/do not drink
4590	5 cups/day
4601	3 cups/day
1	2 cups/day
4742	Don't drink coffee
4756	3-5 cups
4763	2 cups/day
4641	0 cups/day
4654	2 cups/day
4784	Occasionally 
4797	3-5 cups
4813	1 cup/dday
4825	Occasionally 
4832	7 cups/day
4837	I don't drink cofee
4879	4 cups/day
4880	3 cups/day
